pokemon_slug,move_slug,method,level
ivysaur,double-edge,machine,0
ivysaur,endure,machine,0
ivysaur,energy-ball,machine,0
ivysaur,facade,machine,0
ivysaur,false-swipe,machine,0
ivysaur,giga-drain,machine,0
ivysaur,grass-knot,machine,0
ivysaur,grass-pledge,machine,0
ivysaur,grassy-glide,machine,0
ivysaur,grassy-terrain,machine,0
ivysaur,growl,level-up,1
ivysaur,growth,level-up,6
ivysaur,helping-hand,machine,0
ivysaur,knock-off,machine,0
ivysaur,leaf-storm,machine,0
ivysaur,leech-seed,level-up,9
ivysaur,magical-leaf,machine,0
ivysaur,poison-powder,level-up,15
ivysaur,power-whip,level-up,45
ivysaur,protect,machine,0
ivysaur,razor-leaf,level-up,12
ivysaur,rest,machine,0
ivysaur,roar,machine,0
ivysaur,seed-bomb,machine,0
ivysaur,seed-bomb,level-up,20
ivysaur,sleep-powder,level-up,15
ivysaur,sleep-talk,machine,0
ivysaur,sludge-bomb,machine,0
ivysaur,solar-beam,machine,0
ivysaur,solar-beam,level-up,50
ivysaur,substitute,machine,0
ivysaur,sunny-day,machine,0
ivysaur,sweet-scent,level-up,30
ivysaur,swords-dance,machine,0
ivysaur,synthesis,level-up,35
ivysaur,tackle,level-up,1
ivysaur,take-down,machine,0
ivysaur,take-down,level-up,25
ivysaur,tera-blast,machine,0
ivysaur,toxic,machine,0
ivysaur,trailblaze,machine,0
ivysaur,venoshock,machine,0
ivysaur,vine-whip,level-up,3
ivysaur,weather-ball,machine,0
ivysaur,worry-seed,level-up,40
ivysaur,curse,egg,0
ivysaur,ingrain,egg,0
ivysaur,petal-dance,egg,0
ivysaur,toxic,egg,0
venusaur,acid-spray,machine,0
venusaur,amnesia,machine,0
venusaur,body-slam,machine,0
venusaur,bulldoze,machine,0
venusaur,bullet-seed,machine,0
venusaur,charm,machine,0
venusaur,curse,machine,0
venusaur,double-edge,machine,0
venusaur,earth-power,machine,0
venusaur,earthquake,machine,0
venusaur,endure,machine,0
venusaur,energy-ball,machine,0
venusaur,facade,machine,0
venusaur,false-swipe,machine,0
venusaur,frenzy-plant,machine,0
venusaur,giga-drain,machine,0
venusaur,giga-impact,machine,0
venusaur,grass-knot,machine,0
venusaur,grass-pledge,machine,0
venusaur,grassy-glide,machine,0
venusaur,grassy-terrain,machine,0
venusaur,growl,level-up,1
venusaur,growth,level-up,6
venusaur,helping-hand,machine,0
venusaur,hyper-beam,machine,0
venusaur,knock-off,machine,0
venusaur,leaf-storm,machine,0
venusaur,leech-seed,level-up,9
venusaur,magical-leaf,machine,0
venusaur,petal-blizzard,machine,0
venusaur,petal-blizzard,level-up,0
venusaur,petal-dance,level-up,1
venusaur,poison-jab,machine,0
venusaur,poison-powder,level-up,15
venusaur,power-whip,level-up,51
venusaur,protect,machine,0
venusaur,razor-leaf,level-up,12
venusaur,rest,machine,0
venusaur,roar,machine,0
venusaur,scary-face,machine,0
venusaur,seed-bomb,machine,0
venusaur,seed-bomb,level-up,20
venusaur,sleep-powder,level-up,15
venusaur,sleep-talk,machine,0
venusaur,sludge-bomb,machine,0
venusaur,solar-beam,machine,0
venusaur,solar-beam,level-up,58
venusaur,stomping-tantrum,machine,0
venusaur,substitute,machine,0
venusaur,sunny-day,machine,0
venusaur,sweet-scent,level-up,30
venusaur,swords-dance,machine,0
venusaur,synthesis,level-up,37
venusaur,tackle,level-up,1
venusaur,take-down,machine,0
venusaur,take-down,level-up,25
venusaur,tera-blast,machine,0
venusaur,toxic,machine,0
venusaur,trailblaze,machine,0
venusaur,venoshock,machine,0
venusaur,vine-whip,level-up,3
venusaur,weather-ball,machine,0
venusaur,worry-seed,level-up,44
venusaur,curse,egg,0
venusaur,ingrain,egg,0
venusaur,petal-dance,egg,0
venusaur,toxic,egg,0
venusaur-mega,acid-spray,machine,0
venusaur-mega,amnesia,machine,0
venusaur-mega,body-slam,machine,0
venusaur-mega,bulldoze,machine,0
venusaur-mega,bullet-seed,machine,0
venusaur-mega,charm,machine,0
venusaur-mega,curse,machine,0
venusaur-mega,double-edge,machine,0
venusaur-mega,earth-power,machine,0
venusaur-mega,earthquake,machine,0
venusaur-mega,endure,machine,0
venusaur-mega,energy-ball,machine,0
venusaur-mega,facade,machine,0
venusaur-mega,false-swipe,machine,0
venusaur-mega,frenzy-plant,machine,0
venusaur-mega,giga-drain,machine,0
venusaur-mega,giga-impact,machine,0
venusaur-mega,grass-knot,machine,0
venusaur-mega,grass-pledge,machine,0
venusaur-mega,grassy-glide,machine,0
venusaur-mega,grassy-terrain,machine,0
venusaur-mega,growl,level-up,1
venusaur-mega,growth,level-up,6
venusaur-mega,helping-hand,machine,0
venusaur-mega,hyper-beam,machine,0
venusaur-mega,knock-off,machine,0
venusaur-mega,leaf-storm,machine,0
venusaur-mega,leech-seed,level-up,9
venusaur-mega,magical-leaf,machine,0
venusaur-mega,petal-blizzard,machine,0
venusaur-mega,petal-blizzard,level-up,0
venusaur-mega,petal-dance,level-up,1
venusaur-mega,poison-jab,machine,0
venusaur-mega,poison-powder,level-up,15
venusaur-mega,power-whip,level-up,51
venusaur-mega,protect,machine,0
venusaur-mega,razor-leaf,level-up,12
venusaur-mega,rest,machine,0
venusaur-mega,roar,machine,0
venusaur-mega,scary-face,machine,0
venusaur-mega,seed-bomb,machine,0
venusaur-mega,seed-bomb,level-up,20
venusaur-mega,sleep-powder,level-up,15
venusaur-mega,sleep-talk,machine,0
venusaur-mega,sludge-bomb,machine,0
venusaur-mega,solar-beam,machine,0
venusaur-mega,solar-beam,level-up,58
venusaur-mega,stomping-tantrum,machine,0
venusaur-mega,substitute,machine,0
venusaur-mega,sunny-day,machine,0
venusaur-mega,sweet-scent,level-up,30
venusaur-mega,swords-dance,machine,0
venusaur-mega,synthesis,level-up,37
venusaur-mega,tackle,level-up,1
venusaur-mega,take-down,machine,0
venusaur-mega,take-down,level-up,25
venusaur-mega,tera-blast,machine,0
venusaur-mega,toxic,machine,0
venusaur-mega,trailblaze,machine,0
venusaur-mega,venoshock,machine,0
venusaur-mega,vine-whip,level-up,3
venusaur-mega,weather-ball,machine,0
venusaur-mega,worry-seed,level-up,44
venusaur-mega,curse,egg,0
venusaur-mega,ingrain,egg,0
venusaur-mega,petal-dance,egg,0
venusaur-mega,toxic,egg,0
charmander,ancient-power,egg,0
charmander,belly-drum,egg,0
charmander,bite,egg,0
charmander,body-slam,machine,0
charmander,breaking-swipe,machine,0
charmander,brick-break,machine,0
charmander,counter,egg,0
charmander,crunch,machine,0
charmander,dig,machine,0
charmander,dragon-breath,level-up,12
charmander,dragon-claw,machine,0
charmander,dragon-dance,machine,0
charmander,dragon-pulse,machine,0
charmander,dragon-rush,egg,0
charmander,dragon-tail,machine,0
charmander,dragon-tail,egg,0
charmander,ember,level-up,4
charmander,endure,machine,0
charmander,facade,machine,0
charmander,false-swipe,machine,0
charmander,fire-blast,machine,0
charmander,fire-fang,machine,0
charmander,fire-fang,level-up,17
charmander,fire-pledge,machine,0
charmander,fire-punch,machine,0
charmander,fire-spin,machine,0
charmander,fire-spin,level-up,32
charmander,flame-charge,machine,0
charmander,flamethrower,machine,0
charmander,flamethrower,level-up,24
charmander,flare-blitz,machine,0
charmander,flare-blitz,level-up,40
charmander,fling,machine,0
charmander,focus-blast,machine,0
charmander,focus-punch,machine,0
charmander,growl,level-up,1
charmander,heat-wave,machine,0
charmander,helping-hand,machine,0
charmander,inferno,level-up,36
charmander,iron-tail,egg,0
charmander,metal-claw,machine,0
charmander,metal-claw,egg,0
charmander,outrage,machine,0
charmander,overheat,machine,0
charmander,protect,machine,0
charmander,rest,machine,0
charmander,roar,machine,0
charmander,rock-slide,machine,0
charmander,rock-tomb,machine,0
charmander,scary-face,machine,0
charmander,scary-face,level-up,28
charmander,scratch,level-up,1
charmander,shadow-claw,machine,0
charmander,slash,level-up,20
charmander,sleep-talk,machine,0
charmander,smokescreen,level-up,8
charmander,substitute,machine,0
charmander,sunny-day,machine,0
charmander,swift,machine,0
charmander,swords-dance,machine,0
charmander,take-down,machine,0
charmander,temper-flare,machine,0
charmander,tera-blast,machine,0
charmander,thunder-punch,machine,0
charmander,weather-ball,machine,0
charmander,will-o-wisp,machine,0
charmeleon,body-slam,machine,0
charmeleon,breaking-swipe,machine,0
charmeleon,brick-break,machine,0
charmeleon,crunch,machine,0
charmeleon,dig,machine,0
charmeleon,dragon-breath,level-up,12
charmeleon,dragon-claw,machine,0
charmeleon,dragon-dance,machine,0
charmeleon,dragon-pulse,machine,0
charmeleon,dragon-tail,machine,0
charmeleon,ember,level-up,4
charmeleon,endure,machine,0
charmeleon,facade,machine,0
charmeleon,false-swipe,machine,0
charmeleon,fire-blast,machine,0
charmeleon,fire-fang,machine,0
charmeleon,fire-fang,level-up,19
charmeleon,fire-pledge,machine,0
charmeleon,fire-punch,machine,0
charmeleon,fire-spin,machine,0
charmeleon,flame-charge,machine,0
charmeleon,flamethrower,machine,0
charmeleon,flamethrower,level-up,30
charmeleon,flare-blitz,machine,0
charmeleon,flare-blitz,level-up,54
charmeleon,fling,machine,0
charmeleon,focus-blast,machine,0
charmeleon,focus-punch,machine,0
charmeleon,growl,level-up,1
charmeleon,heat-wave,machine,0
charmeleon,helping-hand,machine,0
charmeleon,inferno,level-up,48
charmeleon,outrage,machine,0
charmeleon,overheat,machine,0
charmeleon,protect,machine,0
charmeleon,rest,machine,0
charmeleon,roar,machine,0
charmeleon,rock-slide,machine,0
charmeleon,rock-tomb,machine,0
charmeleon,scary-face,machine,0
charmeleon,scary-face,level-up,37
charmeleon,scratch,level-up,1
charmeleon,shadow-claw,machine,0
charmeleon,slash,level-up,24
charmeleon,sleep-talk,machine,0
charmeleon,smokescreen,level-up,8
charmeleon,substitute,machine,0
charmeleon,sunny-day,machine,0
charmeleon,swift,machine,0
charmeleon,swords-dance,machine,0
charmeleon,take-down,machine,0
charmeleon,temper-flare,machine,0
charmeleon,tera-blast,machine,0
charmeleon,thunder-punch,machine,0
charmeleon,weather-ball,machine,0
charmeleon,will-o-wisp,machine,0
charmeleon,ancient-power,egg,0
charmeleon,belly-drum,egg,0
charmeleon,bite,egg,0
charmeleon,counter,egg,0
charmeleon,dragon-rush,egg,0
charmeleon,dragon-tail,egg,0
charmeleon,fire-spin,level-up,32
charmeleon,iron-tail,egg,0
charmeleon,metal-claw,machine,0
charmeleon,metal-claw,egg,0
charizard,acrobatics,machine,0
charizard,aerial-ace,machine,0
charizard,air-cutter,machine,0
charizard,air-slash,machine,0
charizard,air-slash,level-up,0
charizard,blast-burn,machine,0
charizard,body-slam,machine,0
charizard,breaking-swipe,machine,0
charizard,brick-break,machine,0
charizard,bulldoze,machine,0
charizard,crunch,machine,0
charizard,dig,machine,0
charizard,double-edge,machine,0
charizard,dragon-breath,level-up,12
charizard,dragon-cheer,machine,0
charizard,dragon-claw,machine,0
charizard,dragon-claw,level-up,1
charizard,dragon-dance,machine,0
charizard,dragon-pulse,machine,0
charizard,dragon-tail,machine,0
charizard,earthquake,machine,0
charizard,ember,level-up,4
charizard,endure,machine,0
charizard,facade,machine,0
charizard,fire-blast,machine,0
charizard,fire-fang,machine,0
charizard,fire-fang,level-up,19
charizard,fire-pledge,machine,0
charizard,fire-punch,machine,0
charizard,fire-spin,machine,0
charizard,fire-spin,level-up,46
charizard,flame-charge,machine,0
charizard,flamethrower,machine,0
charizard,flamethrower,level-up,30
charizard,flare-blitz,machine,0
charizard,flare-blitz,level-up,62
charizard,fling,machine,0
charizard,fly,machine,0
charizard,focus-blast,machine,0
charizard,focus-punch,machine,0
charizard,giga-impact,machine,0
charizard,growl,level-up,1
charizard,heat-crash,machine,0
charizard,heat-wave,machine,0
charizard,heat-wave,level-up,1
charizard,helping-hand,machine,0
charizard,hurricane,machine,0
charizard,hyper-beam,machine,0
charizard,inferno,level-up,54
charizard,outrage,machine,0
charizard,overheat,machine,0
charizard,protect,machine,0
charizard,rest,machine,0
charizard,roar,machine,0
charizard,rock-slide,machine,0
charizard,rock-tomb,machine,0
charizard,sandstorm,machine,0
charizard,scary-face,machine,0
charizard,scary-face,level-up,39
charizard,scorching-sands,machine,0
charizard,scratch,level-up,1
charizard,shadow-claw,machine,0
charizard,slash,level-up,24
charizard,sleep-talk,machine,0
charizard,smokescreen,level-up,8
charizard,solar-beam,machine,0
charizard,substitute,machine,0
charizard,sunny-day,machine,0
charizard,swift,machine,0
charizard,swords-dance,machine,0
charizard,take-down,machine,0
charizard,temper-flare,machine,0
charizard,tera-blast,machine,0
charizard,thunder-punch,machine,0
charizard,weather-ball,machine,0
charizard,will-o-wisp,machine,0
charizard,false-swipe,machine,0
charizard,ancient-power,egg,0
charizard,belly-drum,egg,0
charizard,bite,egg,0
charizard,counter,egg,0
charizard,dragon-rush,egg,0
charizard,dragon-tail,egg,0
charizard,iron-tail,egg,0
charizard,metal-claw,machine,0
charizard,metal-claw,egg,0
charizard-mega-x,acrobatics,machine,0
charizard-mega-x,aerial-ace,machine,0
charizard-mega-x,air-cutter,machine,0
charizard-mega-x,air-slash,machine,0
charizard-mega-x,air-slash,level-up,0
charizard-mega-x,blast-burn,machine,0
charizard-mega-x,body-slam,machine,0
charizard-mega-x,breaking-swipe,machine,0
charizard-mega-x,brick-break,machine,0
charizard-mega-x,bulldoze,machine,0
charizard-mega-x,crunch,machine,0
charizard-mega-x,dig,machine,0
charizard-mega-x,double-edge,machine,0
charizard-mega-x,dragon-breath,level-up,12
charizard-mega-x,dragon-cheer,machine,0
charizard-mega-x,dragon-claw,machine,0
charizard-mega-x,dragon-claw,level-up,1
charizard-mega-x,dragon-dance,machine,0
charizard-mega-x,dragon-pulse,machine,0
charizard-mega-x,dragon-tail,machine,0
charizard-mega-x,earthquake,machine,0
charizard-mega-x,ember,level-up,4
charizard-mega-x,endure,machine,0
charizard-mega-x,facade,machine,0
charizard-mega-x,fire-blast,machine,0
charizard-mega-x,fire-fang,machine,0
charizard-mega-x,fire-fang,level-up,19
charizard-mega-x,fire-pledge,machine,0
charizard-mega-x,fire-punch,machine,0
charizard-mega-x,fire-spin,machine,0
charizard-mega-x,fire-spin,level-up,46
charizard-mega-x,flame-charge,machine,0
charizard-mega-x,flamethrower,machine,0
charizard-mega-x,flamethrower,level-up,30
charizard-mega-x,flare-blitz,machine,0
charizard-mega-x,flare-blitz,level-up,62
charizard-mega-x,fling,machine,0
charizard-mega-x,fly,machine,0
charizard-mega-x,focus-blast,machine,0
charizard-mega-x,focus-punch,machine,0
charizard-mega-x,giga-impact,machine,0
charizard-mega-x,growl,level-up,1
charizard-mega-x,heat-crash,machine,0
charizard-mega-x,heat-wave,machine,0
charizard-mega-x,heat-wave,level-up,1
charizard-mega-x,helping-hand,machine,0
charizard-mega-x,hurricane,machine,0
charizard-mega-x,hyper-beam,machine,0
charizard-mega-x,inferno,level-up,54
charizard-mega-x,outrage,machine,0
charizard-mega-x,overheat,machine,0
charizard-mega-x,protect,machine,0
charizard-mega-x,rest,machine,0
charizard-mega-x,roar,machine,0
charizard-mega-x,rock-slide,machine,0
charizard-mega-x,rock-tomb,machine,0
charizard-mega-x,sandstorm,machine,0
charizard-mega-x,scary-face,machine,0
charizard-mega-x,scary-face,level-up,39
charizard-mega-x,scorching-sands,machine,0
charizard-mega-x,scratch,level-up,1
charizard-mega-x,shadow-claw,machine,0
charizard-mega-x,slash,level-up,24
charizard-mega-x,sleep-talk,machine,0
charizard-mega-x,smokescreen,level-up,8
charizard-mega-x,solar-beam,machine,0
charizard-mega-x,substitute,machine,0
charizard-mega-x,sunny-day,machine,0
charizard-mega-x,swift,machine,0
charizard-mega-x,swords-dance,machine,0
charizard-mega-x,take-down,machine,0
charizard-mega-x,temper-flare,machine,0
charizard-mega-x,tera-blast,machine,0
charizard-mega-x,thunder-punch,machine,0
charizard-mega-x,weather-ball,machine,0
charizard-mega-x,will-o-wisp,machine,0
charizard-mega-x,false-swipe,machine,0
charizard-mega-x,ancient-power,egg,0
charizard-mega-x,belly-drum,egg,0
charizard-mega-x,bite,egg,0
charizard-mega-x,counter,egg,0
charizard-mega-x,dragon-rush,egg,0
charizard-mega-x,dragon-tail,egg,0
charizard-mega-x,iron-tail,egg,0
charizard-mega-x,metal-claw,machine,0
charizard-mega-x,metal-claw,egg,0
charizard-mega-y,acrobatics,machine,0
charizard-mega-y,aerial-ace,machine,0
charizard-mega-y,air-cutter,machine,0
charizard-mega-y,air-slash,machine,0
charizard-mega-y,air-slash,level-up,0
charizard-mega-y,blast-burn,machine,0
charizard-mega-y,body-slam,machine,0
charizard-mega-y,breaking-swipe,machine,0
charizard-mega-y,brick-break,machine,0
charizard-mega-y,bulldoze,machine,0
charizard-mega-y,crunch,machine,0
charizard-mega-y,dig,machine,0
charizard-mega-y,double-edge,machine,0
charizard-mega-y,dragon-breath,level-up,12
charizard-mega-y,dragon-cheer,machine,0
charizard-mega-y,dragon-claw,machine,0
charizard-mega-y,dragon-claw,level-up,1
charizard-mega-y,dragon-dance,machine,0
charizard-mega-y,dragon-pulse,machine,0
charizard-mega-y,dragon-tail,machine,0
charizard-mega-y,earthquake,machine,0
charizard-mega-y,ember,level-up,4
charizard-mega-y,endure,machine,0
charizard-mega-y,facade,machine,0
charizard-mega-y,fire-blast,machine,0
charizard-mega-y,fire-fang,machine,0
charizard-mega-y,fire-fang,level-up,19
charizard-mega-y,fire-pledge,machine,0
charizard-mega-y,fire-punch,machine,0
charizard-mega-y,fire-spin,machine,0
charizard-mega-y,fire-spin,level-up,46
charizard-mega-y,flame-charge,machine,0
charizard-mega-y,flamethrower,machine,0
charizard-mega-y,flamethrower,level-up,30
charizard-mega-y,flare-blitz,machine,0
charizard-mega-y,flare-blitz,level-up,62
charizard-mega-y,fling,machine,0
charizard-mega-y,fly,machine,0
charizard-mega-y,focus-blast,machine,0
charizard-mega-y,focus-punch,machine,0
charizard-mega-y,giga-impact,machine,0
charizard-mega-y,growl,level-up,1
charizard-mega-y,heat-crash,machine,0
charizard-mega-y,heat-wave,machine,0
charizard-mega-y,heat-wave,level-up,1
charizard-mega-y,helping-hand,machine,0
charizard-mega-y,hurricane,machine,0
charizard-mega-y,hyper-beam,machine,0
charizard-mega-y,inferno,level-up,54
charizard-mega-y,outrage,machine,0
charizard-mega-y,overheat,machine,0
charizard-mega-y,protect,machine,0
charizard-mega-y,rest,machine,0
charizard-mega-y,roar,machine,0
charizard-mega-y,rock-slide,machine,0
charizard-mega-y,rock-tomb,machine,0
charizard-mega-y,sandstorm,machine,0
charizard-mega-y,scary-face,machine,0
charizard-mega-y,scary-face,level-up,39
charizard-mega-y,scorching-sands,machine,0
charizard-mega-y,scratch,level-up,1
charizard-mega-y,shadow-claw,machine,0
charizard-mega-y,slash,level-up,24
charizard-mega-y,sleep-talk,machine,0
charizard-mega-y,smokescreen,level-up,8
charizard-mega-y,solar-beam,machine,0
charizard-mega-y,substitute,machine,0
charizard-mega-y,sunny-day,machine,0
charizard-mega-y,swift,machine,0
charizard-mega-y,swords-dance,machine,0
charizard-mega-y,take-down,machine,0
charizard-mega-y,temper-flare,machine,0
charizard-mega-y,tera-blast,machine,0
charizard-mega-y,thunder-punch,machine,0
charizard-mega-y,weather-ball,machine,0
charizard-mega-y,will-o-wisp,machine,0
charizard-mega-y,false-swipe,machine,0
charizard-mega-y,ancient-power,egg,0
charizard-mega-y,belly-drum,egg,0
charizard-mega-y,bite,egg,0
charizard-mega-y,counter,egg,0
charizard-mega-y,dragon-rush,egg,0
charizard-mega-y,dragon-tail,egg,0
charizard-mega-y,iron-tail,egg,0
charizard-mega-y,metal-claw,machine,0
charizard-mega-y,metal-claw,egg,0
squirtle,aqua-jet,egg,0
squirtle,aqua-ring,egg,0
squirtle,aqua-tail,level-up,24
squirtle,bite,level-up,12
squirtle,blizzard,machine,0
squirtle,body-slam,machine,0
squirtle,brick-break,machine,0
squirtle,chilling-water,machine,0
squirtle,dig,machine,0
squirtle,double-edge,machine,0
squirtle,endure,machine,0
squirtle,facade,machine,0
squirtle,fake-out,egg,0
squirtle,flail,egg,0
squirtle,fling,machine,0
squirtle,flip-turn,machine,0
squirtle,focus-punch,machine,0
squirtle,gyro-ball,machine,0
squirtle,haze,machine,0
squirtle,helping-hand,machine,0
squirtle,hydro-pump,machine,0
squirtle,hydro-pump,level-up,33
squirtle,ice-beam,machine,0
squirtle,ice-punch,machine,0
squirtle,ice-spinner,machine,0
squirtle,icy-wind,machine,0
squirtle,iron-defense,machine,0
squirtle,iron-defense,level-up,30
squirtle,life-dew,egg,0
squirtle,liquidation,machine,0
squirtle,mirror-coat,egg,0
squirtle,mist,egg,0
squirtle,muddy-water,machine,0
squirtle,mud-shot,machine,0
squirtle,protect,machine,0
squirtle,protect,level-up,18
squirtle,rain-dance,machine,0
squirtle,rain-dance,level-up,21
squirtle,rapid-spin,level-up,9
squirtle,rest,machine,0
squirtle,shell-smash,level-up,27
squirtle,sleep-talk,machine,0
squirtle,substitute,machine,0
squirtle,surf,machine,0
squirtle,tackle,level-up,1
squirtle,tail-whip,level-up,1
squirtle,take-down,machine,0
squirtle,tera-blast,machine,0
squirtle,water-gun,level-up,3
squirtle,water-pledge,machine,0
squirtle,water-pulse,machine,0
squirtle,water-pulse,level-up,15
squirtle,water-spout,egg,0
squirtle,weather-ball,machine,0
squirtle,whirlpool,machine,0
squirtle,withdraw,level-up,6
squirtle,yawn,egg,0
squirtle,zen-headbutt,machine,0
wartortle,aqua-tail,level-up,30
wartortle,bite,level-up,12
wartortle,blizzard,machine,0
wartortle,body-slam,machine,0
wartortle,brick-break,machine,0
wartortle,chilling-water,machine,0
wartortle,dig,machine,0
wartortle,double-edge,machine,0
wartortle,endure,machine,0
wartortle,facade,machine,0
wartortle,fling,machine,0
wartortle,flip-turn,machine,0
wartortle,focus-punch,machine,0
wartortle,gyro-ball,machine,0
wartortle,haze,machine,0
wartortle,helping-hand,machine,0
wartortle,hydro-pump,machine,0
wartortle,hydro-pump,level-up,45
wartortle,ice-beam,machine,0
wartortle,ice-punch,machine,0
wartortle,ice-spinner,machine,0
wartortle,icy-wind,machine,0
wartortle,iron-defense,machine,0
wartortle,iron-defense,level-up,40
wartortle,liquidation,machine,0
wartortle,muddy-water,machine,0
wartortle,mud-shot,machine,0
wartortle,protect,machine,0
wartortle,protect,level-up,20
wartortle,rain-dance,machine,0
wartortle,rain-dance,level-up,25
wartortle,rapid-spin,level-up,9
wartortle,rest,machine,0
wartortle,shell-smash,level-up,35
wartortle,sleep-talk,machine,0
wartortle,substitute,machine,0
wartortle,surf,machine,0
wartortle,tackle,level-up,1
wartortle,tail-whip,level-up,1
wartortle,take-down,machine,0
wartortle,tera-blast,machine,0
wartortle,water-gun,level-up,3
wartortle,water-pledge,machine,0
wartortle,water-pulse,machine,0
wartortle,water-pulse,level-up,15
wartortle,weather-ball,machine,0
wartortle,whirlpool,machine,0
wartortle,withdraw,level-up,6
wartortle,zen-headbutt,machine,0
wartortle,aqua-jet,egg,0
wartortle,aqua-ring,egg,0
wartortle,fake-out,egg,0
wartortle,flail,egg,0
wartortle,life-dew,egg,0
wartortle,mirror-coat,egg,0
wartortle,mist,egg,0
wartortle,water-spout,egg,0
wartortle,yawn,egg,0
blastoise,aqua-tail,level-up,30
blastoise,aura-sphere,machine,0
blastoise,avalanche,machine,0
blastoise,bite,level-up,12
blastoise,blizzard,machine,0
blastoise,body-press,machine,0
blastoise,body-slam,machine,0
blastoise,brick-break,machine,0
blastoise,chilling-water,machine,0
blastoise,crunch,machine,0
blastoise,dark-pulse,machine,0
blastoise,dig,machine,0
blastoise,double-edge,machine,0
blastoise,dragon-pulse,machine,0
blastoise,earthquake,machine,0
blastoise,endure,machine,0
blastoise,facade,machine,0
blastoise,flash-cannon,machine,0
blastoise,flash-cannon,level-up,0
blastoise,fling,machine,0
blastoise,flip-turn,machine,0
blastoise,focus-blast,machine,0
blastoise,focus-punch,machine,0
blastoise,giga-impact,machine,0
blastoise,gyro-ball,machine,0
blastoise,haze,machine,0
blastoise,helping-hand,machine,0
blastoise,hydro-cannon,machine,0
blastoise,hydro-pump,machine,0
blastoise,hydro-pump,level-up,49
blastoise,hyper-beam,machine,0
blastoise,ice-beam,machine,0
blastoise,ice-punch,machine,0
blastoise,ice-spinner,machine,0
blastoise,icy-wind,machine,0
blastoise,iron-defense,machine,0
blastoise,iron-defense,level-up,42
blastoise,liquidation,machine,0
blastoise,muddy-water,machine,0
blastoise,mud-shot,machine,0
blastoise,protect,machine,0
blastoise,protect,level-up,20
blastoise,rain-dance,machine,0
blastoise,rain-dance,level-up,25
blastoise,rapid-spin,level-up,9
blastoise,rest,machine,0
blastoise,roar,machine,0
blastoise,rock-slide,machine,0
blastoise,rock-tomb,machine,0
blastoise,scary-face,machine,0
blastoise,shell-smash,level-up,35
blastoise,sleep-talk,machine,0
blastoise,smack-down,machine,0
blastoise,substitute,machine,0
blastoise,surf,machine,0
blastoise,tackle,level-up,1
blastoise,tail-whip,level-up,1
blastoise,take-down,machine,0
blastoise,tera-blast,machine,0
blastoise,water-gun,level-up,3
blastoise,water-pledge,machine,0
blastoise,water-pulse,machine,0
blastoise,water-pulse,level-up,15
blastoise,weather-ball,machine,0
blastoise,whirlpool,machine,0
blastoise,withdraw,level-up,6
blastoise,zen-headbutt,machine,0
blastoise,aqua-jet,egg,0
blastoise,aqua-ring,egg,0
blastoise,fake-out,egg,0
blastoise,flail,egg,0
blastoise,life-dew,egg,0
blastoise,mirror-coat,egg,0
blastoise,mist,egg,0
blastoise,water-spout,egg,0
blastoise,yawn,egg,0
blastoise-mega,aqua-tail,level-up,30
blastoise-mega,aura-sphere,machine,0
blastoise-mega,avalanche,machine,0
blastoise-mega,bite,level-up,12
blastoise-mega,blizzard,machine,0
