slug,num,name_en,name_ja,type1,type2,hp,atk,def,spa,spd,spe,ability0_slug,ability1_slug,abilityH_slug,weight_kg,height_m,category,form_type,base_form_slug,fixed_item,fixed_tera_type,gender_rate,sprite_url,nfe,include
oddish,43,Oddish,ナゾノクサ,Grass,Poison,45,50,55,75,65,30,chlorophyll,,run-away,5.4,0.5,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png,true,○
gloom,44,Gloom,クサイハナ,Grass,Poison,60,65,70,85,75,40,chlorophyll,,stench,8.6,0.8,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png,true,○
vileplume,45,Vileplume,ラフレシア,Grass,Poison,75,80,85,110,90,50,chlorophyll,,effect-spore,18.6,1.2,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png,false,○
venonat,48,Venonat,コンパン,Bug,Poison,60,55,50,40,55,45,compound-eyes,tinted-lens,run-away,30,1,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png,true,○
venomoth,49,Venomoth,モルフォン,Bug,Poison,70,65,60,90,75,90,shield-dust,tinted-lens,wonder-skin,12.5,1.5,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png,false,○
diglett,50,Diglett,ディグダ,Ground,,10,55,25,35,45,95,sand-veil,arena-trap,sand-force,0.8,0.2,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png,true,○
diglett-alola,50,Diglett-Alola,ディグダ（アローラのすがた）,Ground,Steel,10,55,30,35,45,90,sand-veil,tangling-hair,sand-force,1,0.2,normal,variant,diglett,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10105.png,true,○
dugtrio,51,Dugtrio,ダグトリオ,Ground,,35,100,50,50,70,120,sand-veil,arena-trap,sand-force,33.3,0.7,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png,false,○
dugtrio-alola,51,Dugtrio-Alola,ダグトリオ（アローラのすがた）,Ground,Steel,35,100,60,50,70,110,sand-veil,tangling-hair,sand-force,66.6,0.7,normal,variant,dugtrio,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10106.png,false,○
meowth,52,Meowth,ニャース,Normal,,40,45,35,40,40,90,pickup,technician,unnerve,4.2,0.4,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png,true,○
meowth-alola,52,Meowth-Alola,ニャース（アローラのすがた）,Dark,,40,35,35,50,40,90,pickup,technician,rattled,4.2,0.4,normal,variant,meowth,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10107.png,true,○
meowth-galar,52,Meowth-Galar,ニャース（ガラルのすがた）,Steel,,50,65,55,40,40,40,pickup,tough-claws,unnerve,7.5,0.4,normal,variant,meowth,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10161.png,true,○
persian,53,Persian,ペルシアン,Normal,,65,70,60,65,65,115,limber,technician,unnerve,32,1,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png,false,○
persian-alola,53,Persian-Alola,ペルシアン（アローラのすがた）,Dark,,65,60,60,75,65,115,fur-coat,technician,rattled,33,1.1,normal,variant,persian,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10108.png,false,○
psyduck,54,Psyduck,コダック,Water,,50,52,48,65,50,55,damp,cloud-nine,swift-swim,19.6,0.8,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png,true,○
golduck,55,Golduck,ゴルダック,Water,,80,82,78,95,80,85,damp,cloud-nine,swift-swim,76.6,1.7,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png,false,○
mankey,56,Mankey,マンキー,Fighting,,40,80,35,35,45,70,vital-spirit,anger-point,defiant,28,0.5,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png,true,○
primeape,57,Primeape,オコリザル,Fighting,,65,105,60,60,70,95,vital-spirit,anger-point,defiant,32,1,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png,true,○
growlithe,58,Growlithe,ガーディ,Fire,,55,70,45,70,50,60,intimidate,flash-fire,justified,19,0.7,normal,base,,,,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png,true,○
growlithe-hisui,58,Growlithe-Hisui,ガーディ（ヒスイのすがた）,Fire,Rock,60,75,45,65,50,55,intimidate,flash-fire,rock-head,22.7,0.8,normal,variant,growlithe,,,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10229.png,true,○
arcanine,59,Arcanine,ウインディ,Fire,,90,110,80,100,80,95,intimidate,flash-fire,justified,155,1.9,normal,base,,,,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png,false,○
arcanine-hisui,59,Arcanine-Hisui,ウインディ（ヒスイのすがた）,Fire,Rock,95,115,80,95,80,90,intimidate,flash-fire,rock-head,168,2,normal,variant,arcanine,,,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10230.png,false,○
poliwag,60,Poliwag,ニョロモ,Water,,40,50,40,40,40,90,water-absorb,damp,swift-swim,12.4,0.6,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png,true,○
poliwhirl,61,Poliwhirl,ニョロゾ,Water,,65,65,65,50,50,90,water-absorb,damp,swift-swim,20,1,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png,true,○
poliwrath,62,Poliwrath,ニョロボン,Water,Fighting,90,95,95,70,90,70,water-absorb,damp,swift-swim,54,1.3,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png,false,○
alakazam,65,Alakazam,フーディン,Psychic,,55,50,45,135,95,120,synchronize,inner-focus,magic-guard,48,1.5,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png,false,○
alakazam-mega,65,Alakazam-Mega,メガフーディン,Psychic,,55,50,65,175,105,150,trace,,,48,1.2,normal,mega,alakazam,alakazite,,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10037.png,false,○
bellsprout,69,Bellsprout,マダツボミ,Grass,Poison,50,75,35,70,30,40,chlorophyll,,gluttony,4,0.7,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png,true,○
weepinbell,70,Weepinbell,ウツドン,Grass,Poison,65,90,50,85,45,55,chlorophyll,,gluttony,6.4,1,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png,true,○
victreebel,71,Victreebel,ウツボット,Grass,Poison,80,105,65,100,70,70,chlorophyll,,gluttony,15.5,1.7,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png,false,○
tentacool,72,Tentacool,メノクラゲ,Water,Poison,40,40,35,50,100,70,clear-body,liquid-ooze,rain-dish,45.5,0.9,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png,true,○
tentacruel,73,Tentacruel,ドククラゲ,Water,Poison,80,70,65,80,120,100,clear-body,liquid-ooze,rain-dish,55,1.6,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png,false,○
geodude,74,Geodude,イシツブテ,Rock,Ground,40,80,100,30,30,20,rock-head,sturdy,sand-veil,20,0.4,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png,true,○
geodude-alola,74,Geodude-Alola,イシツブテ（アローラのすがた）,Rock,Electric,40,80,100,30,30,20,magnet-pull,sturdy,galvanize,20.3,0.4,normal,variant,geodude,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10109.png,true,○
graveler,75,Graveler,ゴローン,Rock,Ground,55,95,115,45,45,35,rock-head,sturdy,sand-veil,105,1,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png,true,○
graveler-alola,75,Graveler-Alola,ゴローン（アローラのすがた）,Rock,Electric,55,95,115,45,45,35,magnet-pull,sturdy,galvanize,110,1,normal,variant,graveler,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10110.png,true,○
golem,76,Golem,ゴローニャ,Rock,Ground,80,120,130,55,65,45,rock-head,sturdy,sand-veil,300,1.4,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png,false,○
golem-alola,76,Golem-Alola,ゴローニャ（アローラのすがた）,Rock,Electric,80,120,130,55,65,45,magnet-pull,sturdy,galvanize,316,1.7,normal,variant,golem,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10111.png,false,○
slowpoke,79,Slowpoke,ヤドン,Water,Psychic,90,65,65,40,40,15,oblivious,own-tempo,regenerator,36,1.2,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png,true,○
slowpoke-galar,79,Slowpoke-Galar,ヤドン（ガラルのすがた）,Psychic,,90,65,65,40,40,15,gluttony,own-tempo,regenerator,36,1.2,normal,variant,slowpoke,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10164.png,true,○
slowbro,80,Slowbro,ヤドラン,Water,Psychic,95,75,110,100,80,30,oblivious,own-tempo,regenerator,78.5,1.6,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png,false,○
slowbro-mega,80,Slowbro-Mega,メガヤドラン,Water,Psychic,95,75,180,130,80,30,shell-armor,,,120,2,normal,mega,slowbro,slowbronite,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10071.png,false,○
slowbro-galar,80,Slowbro-Galar,ヤドラン（ガラルのすがた）,Poison,Psychic,95,100,95,100,70,30,quick-draw,own-tempo,regenerator,70.5,1.6,normal,variant,slowbro,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10165.png,false,○
magnemite,81,Magnemite,コイル,Electric,Steel,25,35,70,95,55,45,magnet-pull,sturdy,analytic,6,0.3,normal,base,,,,-1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png,true,○
magneton,82,Magneton,レアコイル,Electric,Steel,50,60,95,120,70,70,magnet-pull,sturdy,analytic,60,1,normal,base,,,,-1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png,true,○
doduo,84,Doduo,ドードー,Normal,Flying,35,85,45,35,35,75,run-away,early-bird,tangled-feet,39.2,1.4,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png,true,○
dodrio,85,Dodrio,ドードリオ,Normal,Flying,60,110,70,60,60,110,run-away,early-bird,tangled-feet,85.2,1.8,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png,false,○
seel,86,Seel,パウワウ,Water,,65,45,55,45,70,45,thick-fat,hydration,ice-body,90,1.1,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png,true,○
dewgong,87,Dewgong,ジュゴン,Water,Ice,90,70,80,70,95,70,thick-fat,hydration,ice-body,120,1.7,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png,false,○
grimer,88,Grimer,ベトベター,Poison,,80,80,50,40,50,25,stench,sticky-hold,poison-touch,30,0.9,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png,true,○
grimer-alola,88,Grimer-Alola,ベトベター（アローラのすがた）,Poison,Dark,80,80,50,40,50,25,poison-touch,gluttony,power-of-alchemy,42,0.7,normal,variant,grimer,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10112.png,true,○
muk,89,Muk,ベトベトン,Poison,,105,105,75,65,100,50,stench,sticky-hold,poison-touch,30,1.2,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png,false,○
muk-alola,89,Muk-Alola,ベトベトン（アローラのすがた）,Poison,Dark,105,105,75,65,100,50,poison-touch,gluttony,power-of-alchemy,52,1,normal,variant,muk,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10113.png,false,○
shellder,90,Shellder,シェルダー,Water,,30,65,100,45,25,40,shell-armor,skill-link,overcoat,4,0.3,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png,true,○
cloyster,91,Cloyster,パルシェン,Water,Ice,50,95,180,85,45,70,shell-armor,skill-link,overcoat,132.5,1.5,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png,false,○
gastly,92,Gastly,ゴース,Ghost,Poison,30,35,30,100,35,80,levitate,,,0.1,1.3,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png,true,○
haunter,93,Haunter,ゴースト,Ghost,Poison,45,50,45,115,55,95,levitate,,,0.1,1.6,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.png,true,○
gengar,94,Gengar,ゲンガー,Ghost,Poison,60,65,60,130,75,110,cursed-body,,,40.5,1.5,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png,false,○
gengar-mega,94,Gengar-Mega,メガゲンガー,Ghost,Poison,60,65,80,170,95,130,shadow-tag,,,40.5,1.4,normal,mega,gengar,gengarite,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10038.png,false,○
drowzee,96,Drowzee,スリープ,Psychic,,60,48,45,43,90,42,insomnia,forewarn,inner-focus,32.4,1,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png,true,○
hypno,97,Hypno,スリーパー,Psychic,,85,73,70,73,115,67,insomnia,forewarn,inner-focus,75.6,1.6,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.png,false,○
voltorb,100,Voltorb,ビリリダマ,Electric,,40,30,50,55,55,100,soundproof,static,aftermath,10.4,0.5,normal,base,,,,-1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/100.png,true,○
voltorb-hisui,100,Voltorb-Hisui,ビリリダマ（ヒスイのすがた）,Electric,Grass,40,30,50,55,55,100,soundproof,static,aftermath,13,0.5,normal,variant,voltorb,,,-1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10231.png,true,○
electrode,101,Electrode,マルマイン,Electric,,60,50,70,80,80,150,soundproof,static,aftermath,66.6,1.2,normal,base,,,,-1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/101.png,false,○
electrode-hisui,101,Electrode-Hisui,マルマイン（ヒスイのすがた）,Electric,Grass,60,50,70,80,80,150,soundproof,static,aftermath,71,1.2,normal,variant,electrode,,,-1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10232.png,false,○
exeggcute,102,Exeggcute,タマタマ,Grass,Psychic,60,40,80,60,45,40,chlorophyll,,harvest,2.5,0.4,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.png,true,○
exeggutor,103,Exeggutor,ナッシー,Grass,Psychic,95,95,85,125,75,55,chlorophyll,,harvest,120,2,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/103.png,false,○
exeggutor-alola,103,Exeggutor-Alola,ナッシー（アローラのすがた）,Grass,Dragon,95,105,85,125,75,45,frisk,,harvest,415.6,10.9,normal,variant,exeggutor,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10114.png,false,○
hitmonlee,106,Hitmonlee,サワムラー,Fighting,,50,120,53,35,110,87,limber,reckless,unburden,49.8,1.5,normal,base,,,,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/106.png,false,○
hitmonchan,107,Hitmonchan,エビワラー,Fighting,,50,105,79,35,110,76,keen-eye,iron-fist,inner-focus,50.2,1.4,normal,base,,,,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/107.png,false,○
koffing,109,Koffing,ドガース,Poison,,40,65,95,60,45,35,levitate,neutralizing-gas,stench,1,0.6,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/109.png,true,○
weezing,110,Weezing,マタドガス,Poison,,65,90,120,85,70,60,levitate,neutralizing-gas,stench,9.5,1.2,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/110.png,false,○
weezing-galar,110,Weezing-Galar,マタドガス（ガラルのすがた）,Poison,Fairy,65,90,120,85,70,60,levitate,neutralizing-gas,misty-surge,16,3,normal,variant,weezing,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10167.png,false,○
rhyhorn,111,Rhyhorn,サイホーン,Ground,Rock,80,85,95,30,30,25,lightning-rod,rock-head,reckless,115,1,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/111.png,true,○
rhydon,112,Rhydon,サイドン,Ground,Rock,105,130,120,45,45,40,lightning-rod,rock-head,reckless,120,1.9,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/112.png,true,○
chansey,113,Chansey,ラッキー,Normal,,250,5,5,35,105,50,natural-cure,serene-grace,healer,34.6,1.1,normal,base,,,,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/113.png,true,○
kangaskhan,115,Kangaskhan,ガルーラ,Normal,,105,95,80,40,80,90,early-bird,scrappy,inner-focus,80,2.2,normal,base,,,,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/115.png,false,○
kangaskhan-mega,115,Kangaskhan-Mega,メガガルーラ,Normal,,105,125,100,60,100,100,parental-bond,,,100,2.2,normal,mega,kangaskhan,kangaskhanite,,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10039.png,false,○
horsea,116,Horsea,タッツー,Water,,30,40,70,70,25,60,swift-swim,sniper,damp,8,0.4,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/116.png,true,○
seadra,117,Seadra,シードラ,Water,,55,65,95,95,45,85,poison-point,sniper,damp,25,1.2,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/117.png,true,○
scyther,123,Scyther,ストライク,Bug,Flying,70,110,80,55,80,105,swarm,technician,steadfast,56,1.5,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/123.png,true,○
electabuzz,125,Electabuzz,エレブー,Electric,,65,83,57,95,85,105,static,,vital-spirit,30,1.1,normal,base,,,,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/125.png,true,○
