slug,num,name_en,name_ja,type,category,power,accuracy,pp,priority,target,short_desc_en,short_desc_ja,include
slam,21,Slam,たたきつける,Normal,Physical,80,75,20,0,normal,No additional effect.,長い　しっぽや　つるなどを　使い 相手を　たたきつけて　攻撃する。,○
vine-whip,22,Vine Whip,つるのムチ,Grass,Physical,45,100,25,0,normal,No additional effect.,ムチのように　しなる　細長い　つるで 相手を　たたきつけて　攻撃する。,○
stomp,23,Stomp,ふみつけ,Normal,Physical,65,100,20,0,normal,30% chance to make the target flinch.,大きな　足で 相手を　踏みつけて　攻撃する。 相手を　ひるませることが　ある。,○
double-kick,24,Double Kick,にどげり,Fighting,Physical,30,100,30,0,normal,Hits 2 times in one turn.,２本の　足で　相手を　けとばして 攻撃する。　２回連続で ダメージを　与える。,○
mega-kick,25,Mega Kick,メガトンキック,Normal,Physical,120,75,5,0,normal,No additional effect.,ものすごい　力を　こめた　キックで 相手を　けとばして　攻撃する。,○
jump-kick,26,Jump Kick,とびげり,Fighting,Physical,100,95,10,0,normal,User is hurt by 50% of its max HP if it misses.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
rolling-kick,27,Rolling Kick,まわしげり,Fighting,Physical,60,85,15,0,normal,30% chance to make the target flinch.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
sand-attack,28,Sand Attack,すなかけ,Ground,Status,,100,15,0,normal,Lowers the target's accuracy by 1.,相手の　顔に　砂を　かけて 命中率を　さげる。,○
headbutt,29,Headbutt,ずつき,Normal,Physical,70,100,15,0,normal,30% chance to make the target flinch.,頭を　突きだして まっすぐ　つっこんで　攻撃する。 相手を　ひるませることが　ある。,○
horn-attack,30,Horn Attack,つのでつく,Normal,Physical,65,100,25,0,normal,No additional effect.,鋭く　とがった　つので 相手を　攻撃する。,○
fury-attack,31,Fury Attack,みだれづき,Normal,Physical,15,85,20,0,normal,Hits 2-5 times in one turn.,つのや　くちばしで 相手を　つついて　攻撃する。 ２ー５回の　間　連続で　だす。,○
horn-drill,32,Horn Drill,つのドリル,Normal,Physical,,30,5,0,normal,OHKOs the target. Fails if user is a lower level.,回転する　つのを 相手に　突き刺して　攻撃する。 当たれば　一撃で　ひんしに　する。,○
tackle,33,Tackle,たいあたり,Normal,Physical,40,100,35,0,normal,No additional effect.,相手に　むかって　全身で ぶつかっていき　攻撃する。,○
body-slam,34,Body Slam,のしかかり,Normal,Physical,85,100,15,0,normal,30% chance to paralyze the target.,全身で 相手に　のしかかり　攻撃する。 まひ状態に　することが　ある。,○
wrap,35,Wrap,まきつく,Normal,Physical,15,90,20,0,normal,Traps and damages the target for 4-5 turns.,長い　体や　つるなどを　使って ４ー５ターンの　間 相手に　まきついて　攻撃する。,○
take-down,36,Take Down,とっしん,Normal,Physical,90,85,20,0,normal,Has 1/4 recoil.,すごい　勢いで 相手に　ぶつかって　攻撃する。 自分も　少し　ダメージを　受ける。,○
thrash,37,Thrash,あばれる,Normal,Physical,120,100,10,0,randomNormal,Lasts 2-3 turns. Confuses the user afterwards.,２ー３ターンの　間 暴れまくって　相手を　攻撃する。 暴れたあとは　混乱する。,○
double-edge,38,Double-Edge,すてみタックル,Normal,Physical,120,100,15,0,normal,Has 33% recoil.,命を　懸けて 相手に　突進して　攻撃する。 自分も　かなり　ダメージを　受ける。,○
tail-whip,39,Tail Whip,しっぽをふる,Normal,Status,,100,30,0,allAdjacentFoes,Lowers the foe(s) Defense by 1.,しっぽを　左右に　かわいく　ふって 油断を　誘う。 相手の　防御を　さげる。,○
poison-sting,40,Poison Sting,どくばり,Poison,Physical,15,100,35,0,normal,30% chance to poison the target.,毒の　ある　ハリを 相手に　突き刺して　攻撃する。 毒状態に　することが　ある。,○
twineedle,41,Twineedle,ダブルニードル,Bug,Physical,25,100,20,0,normal,Hits 2 times. Each hit has 20% chance to poison.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
pin-missile,42,Pin Missile,ミサイルばり,Bug,Physical,25,95,20,0,normal,Hits 2-5 times in one turn.,鋭い　ハリを 相手に　発射して　攻撃する。 ２ー５回の　間　連続で　だす。,○
leer,43,Leer,にらみつける,Normal,Status,,100,30,0,allAdjacentFoes,Lowers the foe(s) Defense by 1.,鋭い　目つきで　おびえさせて 相手の　防御を　さげる。,○
bite,44,Bite,かみつく,Dark,Physical,60,100,25,0,normal,30% chance to make the target flinch.,鋭く　とがった　歯で かみついて　攻撃する。 相手を　ひるませることが　ある。,○
growl,45,Growl,なきごえ,Normal,Status,,100,40,0,allAdjacentFoes,Lowers the foe(s) Attack by 1.,かわいい　なきごえを　聞かせて 気を　ひき　油断を　させて 相手の　攻撃を　さげる。,○
roar,46,Roar,ほえる,Normal,Status,,,20,-6,normal,Forces the target to switch to a random ally.,相手を　逃がして 控えの　ポケモンを　ひきずりだす。 野生の　場合は　戦闘が　終わる。,○
sing,47,Sing,うたう,Normal,Status,,55,15,0,normal,Causes the target to fall asleep.,心地好い　きれいな 歌声を　聞かせて 相手を　眠り状態に　する。,○
supersonic,48,Supersonic,ちょうおんぱ,Normal,Status,,55,20,0,normal,Causes the target to become confused.,特殊な　音波を 体から　発して 相手を　混乱させる。,○
sonic-boom,49,Sonic Boom,ソニックブーム,Normal,Special,,90,20,0,normal,Always does 20 HP of damage.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
disable,50,Disable,かなしばり,Normal,Status,,100,20,0,normal,"For 4 turns, disables the target's last move used.",相手の　動きを　とめて 直前に　だしていた　技を ４ターンの　間　使えなくする。,○
acid,51,Acid,ようかいえき,Poison,Special,40,100,30,0,allAdjacentFoes,10% chance to lower the foe(s) Sp. Def by 1.,強い　酸を　相手に　かけて 攻撃する。　相手の　特防を さげることが　ある。,○
ember,52,Ember,ひのこ,Fire,Special,40,100,25,0,normal,10% chance to burn the target.,小さな　炎を 相手に　発射して　攻撃する。 やけど状態に　することが　ある。,○
flamethrower,53,Flamethrower,かえんほうしゃ,Fire,Special,90,100,15,0,normal,10% chance to burn the target.,激しい　炎を 相手に　発射して　攻撃する。 やけど状態に　することが　ある。,○
mist,54,Mist,しろいきり,Ice,Status,,,30,0,allySide,"For 5 turns, protects user's party from stat drops.",白い霧で　体を　おおう。 ５ターンの　間　相手に 能力を　さげられなく　なる。,○
water-gun,55,Water Gun,みずでっぽう,Water,Special,40,100,25,0,normal,No additional effect.,水を　勢いよく 相手に　発射して　攻撃する。,○
hydro-pump,56,Hydro Pump,ハイドロポンプ,Water,Special,110,80,5,0,normal,No additional effect.,大量の　水を 激しい　勢いで 相手に　発射して　攻撃する。,○
surf,57,Surf,なみのり,Water,Special,90,100,15,0,allAdjacent,Hits adjacent Pokemon. Double damage on Dive.,大きな　波で　自分の 周りに　いるものを　攻撃する。,○
ice-beam,58,Ice Beam,れいとうビーム,Ice,Special,90,100,10,0,normal,10% chance to freeze the target.,凍える　ビームを 相手に　発射して　攻撃する。 こおり状態に　することが　ある。,○
blizzard,59,Blizzard,ふぶき,Ice,Special,110,70,5,0,allAdjacentFoes,10% chance to freeze foe(s). Can't miss in Snow.,激しい　吹雪を 相手に　吹きつけて　攻撃する。 こおり状態に　することが　ある。,○
psybeam,60,Psybeam,サイケこうせん,Psychic,Special,65,100,20,0,normal,10% chance to confuse the target.,不思議な　光線を 相手に　発射して　攻撃する。 混乱させることが　ある。,○
bubble-beam,61,Bubble Beam,バブルこうせん,Water,Special,65,100,20,0,normal,10% chance to lower the target's Speed by 1.,泡を　勢いよく 相手に　発射して　攻撃する。 素早さを　さげる　ことが　ある。,○
aurora-beam,62,Aurora Beam,オーロラビーム,Ice,Special,65,100,20,0,normal,10% chance to lower the target's Attack by 1.,にじいろの　ビームを 相手に　発射して　攻撃する。 攻撃を　さげる　ことが　ある。,○
hyper-beam,63,Hyper Beam,はかいこうせん,Normal,Special,150,90,5,0,normal,User cannot move next turn.,強い　光線を 相手に　発射して　攻撃する。 次の　ターンは　動けなくなる。,○
peck,64,Peck,つつく,Flying,Physical,35,100,35,0,any,No additional effect.,鋭く　とがった　くちばしや　つので 相手を　突いて　攻撃する。,○
drill-peck,65,Drill Peck,ドリルくちばし,Flying,Physical,80,100,20,0,any,No additional effect.,回転しながら　とがった　くちばしを 相手に　突き刺して　攻撃する。,○
submission,66,Submission,じごくぐるま,Fighting,Physical,80,80,20,0,normal,Has 1/4 recoil.,地面に　自分ごと 相手を　投げつけて　攻撃する。 自分も　少し　ダメージを　受ける。,○
low-kick,67,Low Kick,けたぐり,Fighting,Physical,,100,20,0,normal,More power the heavier the target.,足を　強く　けり 相手を　転ばせて　攻撃する。 相手が　重いほど　威力が　あがる。,○
counter,68,Counter,カウンター,Fighting,Physical,,100,20,-5,scripted,"If hit by physical attack, returns double damage.",相手から　受けた　物理攻撃の ダメージを　２倍に　して 同じ　相手に　返す。,○
seismic-toss,69,Seismic Toss,ちきゅうなげ,Fighting,Physical,,100,20,0,normal,Does damage equal to the user's level.,引力を　使い　投げとばす。 自分の　レベルと　同じ　ダメージを 相手に　与える。,○
strength,70,Strength,かいりき,Normal,Physical,80,100,15,0,normal,No additional effect.,こん身の　力で 相手を　なぐりつけて　攻撃する。,○
absorb,71,Absorb,すいとる,Grass,Special,20,100,25,0,normal,User recovers 50% of the damage dealt.,養分を　吸い取り　攻撃する。 相手に　与えた　ダメージの 半分の　ＨＰを　回復できる。,○
mega-drain,72,Mega Drain,メガドレイン,Grass,Special,40,100,15,0,normal,User recovers 50% of the damage dealt.,養分を　吸い取り　攻撃する。 相手に　与えた　ダメージの 半分の　ＨＰを　回復できる。,○
leech-seed,73,Leech Seed,やどりぎのタネ,Grass,Status,,90,10,0,normal,1/8 of target's HP is restored to user every turn.,植えつけた　相手の　ＨＰを 毎ターン　少しだけ　吸い取り 自分の　ＨＰを　回復する。,○
growth,74,Growth,せいちょう,Normal,Status,,,20,0,self,Raises user's Attack and Sp. Atk by 1; 2 in Sun.,体を　一気に 大きく　生長させて 攻撃と　特攻を　あげる。,○
razor-leaf,75,Razor Leaf,はっぱカッター,Grass,Physical,55,95,25,0,allAdjacentFoes,High critical hit ratio. Hits adjacent foes.,はっぱを　とばして 相手を　切りつけて　攻撃する。 急所に　当たりやすい。,○
solar-beam,76,Solar Beam,ソーラービーム,Grass,Special,120,100,10,0,normal,Charges turn 1. Hits turn 2. No charge in sunlight.,１ターン目に　光を　いっぱいに　集め ２ターン目に　光の　束を 発射して　攻撃する。,○
poison-powder,77,Poison Powder,どくのこな,Poison,Status,,75,35,0,normal,Poisons the target.,毒の　ある　粉を たくさん　ふりまいて 相手を　毒状態に　する。,○
stun-spore,78,Stun Spore,しびれごな,Grass,Status,,75,30,0,normal,Paralyzes the target.,しびれる　粉を たくさん　ふりまいて 相手を　まひ状態に　する。,○
sleep-powder,79,Sleep Powder,ねむりごな,Grass,Status,,75,15,0,normal,Causes the target to fall asleep.,眠くなる　粉を たくさん　ふりまいて 相手を　眠り状態に　する。,○
petal-dance,80,Petal Dance,はなびらのまい,Grass,Special,120,100,10,0,randomNormal,Lasts 2-3 turns. Confuses the user afterwards.,２ー３ターンの　間　花を まきちらして　相手を　攻撃する。 まきちらした　あとは　混乱する。,○
string-shot,81,String Shot,いとをはく,Bug,Status,,95,40,0,allAdjacentFoes,Lowers the foe(s) Speed by 2.,口から　吹きだした 糸を　まきつけて　相手の 素早さを　がくっと　さげる。,○
dragon-rage,82,Dragon Rage,りゅうのいかり,Dragon,Special,,100,10,0,normal,Deals 40 HP of damage to the target.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
fire-spin,83,Fire Spin,ほのおのうず,Fire,Special,35,85,15,0,normal,Traps and damages the target for 4-5 turns.,激しく　渦をまく　炎の中に ４ー５ターンの　間 相手を　閉じこめて　攻撃する。,○
thunder-shock,84,Thunder Shock,でんきショック,Electric,Special,40,100,30,0,normal,10% chance to paralyze the target.,電気の　刺激を 相手に　浴びせて　攻撃する。 まひ状態に　することが　ある。,○
thunderbolt,85,Thunderbolt,１０まんボルト,Electric,Special,90,100,15,0,normal,10% chance to paralyze the target.,強い　電撃を 相手に　浴びせて　攻撃する。 まひ状態に　することが　ある。,○
thunder-wave,86,Thunder Wave,でんじは,Electric,Status,,90,20,0,normal,Paralyzes the target.,弱い　電撃を　浴びせることで 相手を　まひ状態に　する。,○
thunder,87,Thunder,かみなり,Electric,Special,110,70,10,0,normal,30% chance to paralyze. Can't miss in rain.,激しい　雷を 相手に　落として　攻撃する。 まひ状態に　することが　ある。,○
rock-throw,88,Rock Throw,いわおとし,Rock,Physical,50,90,15,0,normal,No additional effect.,小さな　岩を　持ちあげて 相手に　投げつけて　攻撃する。,○
earthquake,89,Earthquake,じしん,Ground,Physical,100,100,10,0,allAdjacent,Hits adjacent Pokemon. Double damage on Dig.,地震の　衝撃で　自分の 周りに　いるものを　攻撃する。,○
fissure,90,Fissure,じわれ,Ground,Physical,,30,5,0,normal,OHKOs the target. Fails if user is a lower level.,地割れの　裂け目に 相手を　落として　攻撃する。 当たれば　一撃で　ひんしに　する。,○
dig,91,Dig,あなをほる,Ground,Physical,80,100,10,0,normal,"Digs underground turn 1, strikes turn 2.",１ターン目に　潜り　２ターン目で 相手を　攻撃する。,○
toxic,92,Toxic,どくどく,Poison,Status,,90,10,0,normal,Badly poisons the target. Poison types can't miss.,相手を　猛毒の　状態に　する。 ターンが　すすむほど 毒の　ダメージが　増えていく。,○
confusion,93,Confusion,ねんりき,Psychic,Special,50,100,25,0,normal,10% chance to confuse the target.,弱い　念力を 相手に　送って　攻撃する。 相手を　混乱させることが　ある。,○
psychic,94,Psychic,サイコキネシス,Psychic,Special,90,100,10,0,normal,10% chance to lower the target's Sp. Def by 1.,強い　念力を　相手に　送って 攻撃する。　相手の　特防を さげることが　ある。,○
hypnosis,95,Hypnosis,さいみんじゅつ,Psychic,Status,,60,20,0,normal,Causes the target to fall asleep.,眠気を　誘う　暗示を　かけて 相手を　眠り状態に　する。,○
meditate,96,Meditate,ヨガのポーズ,Psychic,Status,,,40,0,self,Raises the user's Attack by 1.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
agility,97,Agility,こうそくいどう,Psychic,Status,,,30,0,self,Raises the user's Speed by 2.,力を　ぬいて　体を　軽くして 高速で　動く。 自分の　素早さを　ぐーんと　あげる。,○
quick-attack,98,Quick Attack,でんこうせっか,Normal,Physical,40,100,30,1,normal,Usually goes first.,目にも　留まらぬ　ものすごい　速さで 相手に　つっこむ。 必ず　先制攻撃　できる。,○
rage,99,Rage,いかり,Normal,Physical,20,100,20,0,normal,Raises the user's Attack by 1 if hit during use.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
teleport,100,Teleport,テレポート,Psychic,Status,,,20,-6,self,User switches out.,ひかえの　ポケモンが　いるときに 使うと　入れ替わる。 野生の　ポケモンは　逃げてしまう。,○
night-shade,101,Night Shade,ナイトヘッド,Ghost,Special,,100,15,0,normal,Does damage equal to the user's level.,恐ろしい　幻を　みせて 自分の　レベルと　同じだけの ダメージを　相手に　与える。,○
mimic,102,Mimic,ものまね,Normal,Status,,,10,0,normal,The last move the target used replaces this one.,相手が　最後に　使った　技を 戦闘の　あいだ 自分の　技に　することが　できる。,○
screech,103,Screech,いやなおと,Normal,Status,,85,40,0,normal,Lowers the target's Defense by 2.,おもわず　耳を　ふさぎたくなる いやなおとを　だして 相手の　防御を　がくっと　さげる。,○
double-team,104,Double Team,かげぶんしん,Normal,Status,,,15,0,self,Raises the user's evasiveness by 1.,素早い　動きで　分身を　つくり 相手を　まどわせて 回避率を　あげる。,○
recover,105,Recover,じこさいせい,Normal,Status,,,5,0,self,Heals the user by 50% of its max HP.,細胞を　再生させて 自分の　最大ＨＰの 半分の　ＨＰを　回復する。,○
harden,106,Harden,かたくなる,Normal,Status,,,30,0,self,Raises the user's Defense by 1.,全身に　力を　こめて 体を　硬くして 自分の　防御を　あげる。,○
minimize,107,Minimize,ちいさくなる,Normal,Status,,,10,0,self,Raises the user's evasiveness by 2.,体を　ちぢめて　小さく　みせて 自分の　回避率を ぐーんと　あげる。,○
smokescreen,108,Smokescreen,えんまく,Normal,Status,,100,20,0,normal,Lowers the target's accuracy by 1.,煙や　墨などを　吹きかけて 相手の　命中率を　さげる。,○
confuse-ray,109,Confuse Ray,あやしいひかり,Ghost,Status,,100,10,0,normal,Confuses the target.,怪しい　光を 相手に　みせて　まどわせる。 相手を　混乱させる。,○
withdraw,110,Withdraw,からにこもる,Water,Status,,,40,0,self,Raises the user's Defense by 1.,殻に　潜りこんで　身を守り 自分の　防御を　あげる。,○
defense-curl,111,Defense Curl,まるくなる,Normal,Status,,,40,0,self,Raises the user's Defense by 1.,体を　まるめて　ちぢこまり 自分の　防御を　あげる。,○
barrier,112,Barrier,バリアー,Psychic,Status,,,20,0,self,Raises the user's Defense by 2.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
light-screen,113,Light Screen,ひかりのかべ,Psychic,Status,,,30,0,allySide,"For 5 turns, special damage to allies is halved.",５ターンの　間　不思議な　かべで 相手から　受ける　特殊攻撃の ダメージを　弱める。,○
haze,114,Haze,くろいきり,Ice,Status,,,30,0,all,Eliminates all stat changes.,黒い霧を　だして　戦闘に でている　ポケモン　全員の 能力変化を　もとに　もどす。,○
reflect,115,Reflect,リフレクター,Psychic,Status,,,20,0,allySide,"For 5 turns, physical damage to allies is halved.",５ターンの　間　不思議な　かべで 相手から　受ける　物理攻撃の ダメージを　弱める。,○
focus-energy,116,Focus Energy,きあいだめ,Normal,Status,,,30,0,self,Raises the user's critical hit ratio by 2.,深く　息を　吸い　気合を　こめる。 自分の　攻撃が 急所に　当たりやすくなる。,○
bide,117,Bide,がまん,Normal,Physical,,,10,1,self,Waits 2 turns; deals double the damage taken.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
metronome,118,Metronome,ゆびをふる,Normal,Status,,,10,0,self,Picks a random move.,指をふり　自分の　脳を　刺激して すべての　技の　なかから どれか　１つを　くりだす。,○
mirror-move,119,Mirror Move,オウムがえし,Flying,Status,,,20,0,normal,User uses the target's last used move against it.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
self-destruct,120,Self-Destruct,じばく,Normal,Physical,200,100,5,0,allAdjacent,Hits adjacent Pokemon. The user faints.,爆発を　おこして　自分の 周りに　いるものを　攻撃する。 使ったあとに　ひんしに　なる。,○
egg-bomb,121,Egg Bomb,タマゴばくだん,Normal,Physical,100,75,10,0,normal,No additional effect.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
lick,122,Lick,したでなめる,Ghost,Physical,30,100,30,0,normal,30% chance to paralyze the target.,長い　舌で 相手を　なめまわして　攻撃する。 まひ状態に　することが　ある。,○
smog,123,Smog,スモッグ,Poison,Special,30,70,20,0,normal,40% chance to poison the target.,汚れた　ガスを 相手に　吹きつけて　攻撃する。 毒状態に　することが　ある。,○
sludge,124,Sludge,ヘドロこうげき,Poison,Special,65,100,20,0,normal,30% chance to poison the target.,汚い　ヘドロを 相手に　投げつけて　攻撃する。 毒状態に　することが　ある。,○
bone-club,125,Bone Club,ホネこんぼう,Ground,Physical,65,85,20,0,normal,10% chance to make the target flinch.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
fire-blast,126,Fire Blast,だいもんじ,Fire,Special,110,85,5,0,normal,10% chance to burn the target.,大の字の　炎で 相手を　焼きつくす。 やけど状態に　することが　ある。,○
waterfall,127,Waterfall,たきのぼり,Water,Physical,80,100,15,0,normal,20% chance to make the target flinch.,すごい　勢いで　相手に　つっこむ。 相手を　ひるませることが　ある。,○
clamp,128,Clamp,からではさむ,Water,Physical,35,85,15,0,normal,Traps and damages the target for 4-5 turns.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
swift,129,Swift,スピードスター,Normal,Special,60,,20,0,allAdjacentFoes,This move does not check accuracy. Hits foes.,星型の　光を　発射して 相手を　攻撃する。 攻撃は　必ず　命中する。,○
skull-bash,130,Skull Bash,ロケットずつき,Normal,Physical,130,100,10,0,normal,Raises user's Defense by 1 on turn 1. Hits turn 2.,１ターン目に　頭を　ひっこめて 防御を　あげる。 ２ターン目に　相手を　攻撃する。,○
spike-cannon,131,Spike Cannon,とげキャノン,Normal,Physical,20,100,15,0,normal,Hits 2-5 times in one turn.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
constrict,132,Constrict,からみつく,Normal,Physical,10,100,35,0,normal,10% chance to lower the target's Speed by 1.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
amnesia,133,Amnesia,ドわすれ,Psychic,Status,,,20,0,self,Raises the user's Sp. Def by 2.,頭を　からにして 一瞬　なにかを　忘れることで 自分の　特防を　ぐーんと　あげる。,○
kinesis,134,Kinesis,スプーンまげ,Psychic,Status,,80,15,0,normal,Lowers the target's accuracy by 1.,スプーンを　まげて　注意を　ひき 相手の　命中率を　さげる。,○
soft-boiled,135,Soft-Boiled,タマゴうみ,Normal,Status,,,5,0,self,Heals the user by 50% of its max HP.,最大ＨＰの　半分 自分の　ＨＰを　回復する。,○
high-jump-kick,136,High Jump Kick,とびひざげり,Fighting,Physical,130,90,10,0,normal,User is hurt by 50% of its max HP if it misses.,ジャンプからの　ひざげりで 相手を　攻撃する。 はずすと　自分が　ダメージを　受ける。,○
glare,137,Glare,へびにらみ,Normal,Status,,100,30,0,normal,Paralyzes the target.,おなかの　模様で　おびえさせて 相手を　まひの　状態に　する。,○
dream-eater,138,Dream Eater,ゆめくい,Psychic,Special,100,100,15,0,normal,User gains 1/2 HP inflicted. Sleeping target only.,寝ている　相手の　夢を　食べて 攻撃する。　ダメージの　半分の ＨＰを　回復する。,○
poison-gas,139,Poison Gas,どくガス,Poison,Status,,90,40,0,allAdjacentFoes,Poisons the foe(s).,毒ガスを　相手の　顔に　吹きかけて 毒の　状態に　する。,○
barrage,140,Barrage,たまなげ,Normal,Physical,15,85,20,0,normal,Hits 2-5 times in one turn.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
leech-life,141,Leech Life,きゅうけつ,Bug,Physical,80,100,10,0,normal,User recovers 50% of the damage dealt.,血を　吸い取って　相手を 攻撃する。　与えた　ダメージの 半分の　ＨＰを　回復できる。,○
lovely-kiss,142,Lovely Kiss,あくまのキッス,Normal,Status,,75,10,0,normal,Causes the target to fall asleep.,恐ろしい　顔で　キスを　せまる。 相手を　眠り状態に　する。,○
sky-attack,143,Sky Attack,ゴッドバード,Flying,Physical,140,90,5,0,any,"Charges, then hits turn 2. 30% flinch. High crit.",２ターン目に　相手を　攻撃する。 たまに　ひるませる。 急所にも　当たりやすい。,○
transform,144,Transform,へんしん,Normal,Status,,,10,0,normal,"Copies target's stats, moves, types, and Ability.",相手の　ポケモンに　変身することで 相手と　まったく 同じ　技が　使える。,○
bubble,145,Bubble,あわ,Water,Special,40,100,30,0,allAdjacentFoes,10% chance to lower the foe(s) Speed by 1.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
dizzy-punch,146,Dizzy Punch,ピヨピヨパンチ,Normal,Physical,70,100,10,0,normal,20% chance to confuse the target.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
spore,147,Spore,キノコのほうし,Grass,Status,,100,15,0,normal,Causes the target to fall asleep.,催眠効果の　ある 胞子を　パラパラと　ふりまき 相手を　眠り状態に　する。,○
flash,148,Flash,フラッシュ,Normal,Status,,100,20,0,normal,Lowers the target's accuracy by 1.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
psywave,149,Psywave,サイコウェーブ,Psychic,Special,,100,15,0,normal,Random damage equal to 0.5x-1.5x user's level.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
